Hero,Total Picks,Picks %,Win %,Total Bans,Bans %,Total Picks Bans,Picks Bans %,Event
Medusa,27,6.78%,55.56%,33,8.29%,60,15.08%,The International 2016
Witch Doctor,49,12.31%,44.90%,10,2.51%,59,14.82%,The International 2016
Broodmother,13,3.27%,76.92%,41,10.30%,54,13.57%,The International 2016
Ancient Apparition,21,5.28%,66.67%,31,7.79%,52,13.07%,The International 2016
Winter Wyvern,36,9.05%,58.33%,15,3.77%,51,12.81%,The International 2016
Puck,21,5.28%,57.14%,26,6.53%,47,11.81%,The International 2016
Queen of Pain,24,6.03%,33.33%,21,5.28%,45,11.31%,The International 2016
Night Stalker,25,6.28%,36.00%,20,5.03%,45,11.31%,The International 2016
Ursa,25,6.28%,60.00%,20,5.03%,45,11.31%,The International 2016
Templar Assassin,27,6.78%,44.44%,17,4.27%,44,11.06%,The International 2016
Doom,21,5.28%,42.86%,22,5.53%,43,10.80%,The International 2016
Weaver,20,5.03%,30.00%,22,5.53%,42,10.55%,The International 2016
Rubick,35,8.79%,51.43%,5,1.26%,40,10.05%,The International 2016
Razor,21,5.28%,57.14%,17,4.27%,38,9.55%,The International 2016
Chen,17,4.27%,58.82%,21,5.28%,38,9.55%,The International 2016
Luna,15,3.77%,60.00%,22,5.53%,37,9.30%,The International 2016
Lich,22,5.53%,45.45%,13,3.27%,35,8.79%,The International 2016
Anti-Mage,18,4.52%,44.44%,15,3.77%,33,8.29%,The International 2016
Lycan,13,3.27%,7.69%,19,4.77%,32,8.04%,The International 2016
Phantom Lancer,17,4.27%,52.94%,13,3.27%,30,7.54%,The International 2016
Undying,21,5.28%,66.67%,8,2.01%,29,7.29%,The International 2016
Viper,11,2.76%,45.45%,16,4.02%,27,6.78%,The International 2016
Natures Prophet,17,4.27%,41.18%,10,2.51%,27,6.78%,The International 2016
Tiny,17,4.27%,17.65%,9,2.26%,26,6.53%,The International 2016
Clinkz,14,3.52%,57.14%,12,3.02%,26,6.53%,The International 2016
Crystal Maiden,18,4.52%,50.00%,7,1.76%,25,6.28%,The International 2016
Meepo,3,0.75%,66.67%,22,5.53%,25,6.28%,The International 2016
Gyrocopter,13,3.27%,38.46%,9,2.26%,22,5.53%,The International 2016
Spectre,14,3.52%,35.71%,7,1.76%,21,5.28%,The International 2016
Skywrath Mage,19,4.77%,52.63%,0,0.00%,19,4.77%,The International 2016
Bristleback,15,3.77%,53.33%,3,0.75%,18,4.52%,The International 2016
Bane,13,3.27%,61.54%,4,1.01%,17,4.27%,The International 2016
Phantom Assassin,13,3.27%,53.85%,4,1.01%,17,4.27%,The International 2016
Enigma,14,3.52%,42.86%,2,0.50%,16,4.02%,The International 2016
Magnus,9,2.26%,55.56%,7,1.76%,16,4.02%,The International 2016
Warlock,10,2.51%,50.00%,5,1.26%,15,3.77%,The International 2016
Spirit Breaker,11,2.76%,72.73%,3,0.75%,14,3.52%,The International 2016
Earthshaker,10,2.51%,40.00%,2,0.50%,12,3.02%,The International 2016
Silencer,10,2.51%,40.00%,2,0.50%,12,3.02%,The International 2016
Shadow Shaman,11,2.76%,54.55%,0,0.00%,11,2.76%,The International 2016
Windranger,5,1.26%,60.00%,5,1.26%,10,2.51%,The International 2016
Legion Commander,8,2.01%,37.50%,2,0.50%,10,2.51%,The International 2016
Zeus,6,1.51%,66.67%,3,0.75%,9,2.26%,The International 2016
Clockwerk,6,1.51%,33.33%,3,0.75%,9,2.26%,The International 2016
Omniknight,6,1.51%,33.33%,3,0.75%,9,2.26%,The International 2016
Shadow Fiend,6,1.51%,33.33%,2,0.50%,8,2.01%,The International 2016
Brewmaster,6,1.51%,50.00%,2,0.50%,8,2.01%,The International 2016
Abaddon,6,1.51%,66.67%,2,0.50%,8,2.01%,The International 2016
Necrophos,5,1.26%,60.00%,2,0.50%,7,1.76%,The International 2016
Venomancer,7,1.76%,42.86%,0,0.00%,7,1.76%,The International 2016
Tusk,6,1.51%,16.67%,1,0.25%,7,1.76%,The International 2016
Lina,4,1.01%,50.00%,2,0.50%,6,1.51%,The International 2016
Leshrac,4,1.01%,50.00%,2,0.50%,6,1.51%,The International 2016
Chaos Knight,4,1.01%,75.00%,2,0.50%,6,1.51%,The International 2016
Wraith King,4,1.01%,0.00%,1,0.25%,5,1.26%,The International 2016
Jakiro,3,0.75%,0.00%,1,0.25%,4,1.01%,The International 2016
Outworld Devourer,2,0.50%,100.00%,2,0.50%,4,1.01%,The International 2016
Troll Warlord,4,1.01%,50.00%,0,0.00%,4,1.01%,The International 2016
Pudge,3,0.75%,0.00%,0,0.00%,3,0.75%,The International 2016
Pugna,2,0.50%,50.00%,1,0.25%,3,0.75%,The International 2016
Bloodseeker,2,0.50%,100.00%,0,0.00%,2,0.50%,The International 2016
Treant Protector,2,0.50%,50.00%,0,0.00%,2,0.50%,The International 2016
Sniper,1,0.25%,0.00%,0,0.00%,1,0.25%,The International 2016
Visage,1,0.25%,100.00%,0,0.00%,1,0.25%,The International 2016
Centaur Warrunner,1,0.25%,100.00%,0,0.00%,1,0.25%,The International 2016
Techies,1,0.25%,0.00%,0,0.00%,1,0.25%,The International 2016
Batrider,70,25.00%,58.57%,166,59.29%,236,84.29%,The Boston Major 2016
Outworld Devourer,72,25.71%,56.94%,135,48.21%,207,73.93%,The Boston Major 2016
Slardar,92,32.86%,48.91%,102,36.43%,194,69.29%,The Boston Major 2016
Shadow Demon,90,32.14%,46.67%,86,30.71%,176,62.86%,The Boston Major 2016
Sand King,97,34.64%,42.27%,78,27.86%,175,62.50%,The Boston Major 2016
Timbersaw,74,26.43%,60.81%,100,35.71%,174,62.14%,The Boston Major 2016
Juggernaut,103,36.79%,43.69%,68,24.29%,171,61.07%,The Boston Major 2016
Ogre Magi,104,37.14%,53.85%,63,22.50%,167,59.64%,The Boston Major 2016
Drow Ranger,50,17.86%,50.00%,113,40.36%,163,58.21%,The Boston Major 2016
Lifestealer,72,25.71%,52.78%,88,31.43%,160,57.14%,The Boston Major 2016
Mirana,84,30.00%,55.95%,58,20.71%,142,50.71%,The Boston Major 2016
Rubick,97,34.64%,56.70%,35,12.50%,132,47.14%,The Boston Major 2016
Io,45,16.07%,53.33%,80,28.57%,125,44.64%,The Boston Major 2016
Warlock,71,25.36%,47.89%,51,18.21%,122,43.57%,The Boston Major 2016
Alchemist,35,12.50%,62.86%,85,30.36%,120,42.86%,The Boston Major 2016
Nyx Assassin,51,18.21%,54.90%,65,23.21%,116,41.43%,The Boston Major 2016
Luna,70,25.00%,52.86%,43,15.36%,113,40.36%,The Boston Major 2016
Bounty Hunter,44,15.71%,50.00%,68,24.29%,112,40.00%,The Boston Major 2016
Dark Seer,49,17.50%,42.86%,62,22.14%,111,39.64%,The Boston Major 2016
Invoker,55,19.64%,49.09%,49,17.50%,104,37.14%,The Boston Major 2016
Naga Siren,23,8.21%,69.57%,80,28.57%,103,36.79%,The Boston Major 2016
Axe,53,18.93%,50.94%,43,15.36%,96,34.29%,The Boston Major 2016
Storm Spirit,30,10.71%,40.00%,63,22.50%,93,33.21%,The Boston Major 2016
Ursa,42,15.00%,38.10%,39,13.93%,81,28.93%,The Boston Major 2016
Tinker,24,8.57%,54.17%,52,18.57%,76,27.14%,The Boston Major 2016
Faceless Void,29,10.36%,58.62%,42,15.00%,71,25.36%,The Boston Major 2016
Undying,35,12.50%,48.57%,35,12.50%,70,25.00%,The Boston Major 2016
Slark,31,11.07%,41.94%,38,13.57%,69,24.64%,The Boston Major 2016
Omniknight,31,11.07%,45.16%,37,13.21%,68,24.29%,The Boston Major 2016
Keeper of the Light,30,10.71%,50.00%,36,12.86%,66,23.57%,The Boston Major 2016
Disruptor,51,18.21%,56.86%,14,5.00%,65,23.21%,The Boston Major 2016
Oracle,36,12.86%,30.56%,27,9.64%,63,22.50%,The Boston Major 2016
Earth Spirit,38,13.57%,52.63%,23,8.21%,61,21.79%,The Boston Major 2016
Morphling,27,9.64%,51.85%,32,11.43%,59,21.07%,The Boston Major 2016
Witch Doctor,44,15.71%,40.91%,15,5.36%,59,21.07%,The Boston Major 2016
Legion Commander,36,12.86%,58.33%,22,7.86%,58,20.71%,The Boston Major 2016
Sven,31,11.07%,54.84%,26,9.29%,57,20.36%,The Boston Major 2016
Riki,19,6.79%,21.05%,38,13.57%,57,20.36%,The Boston Major 2016
Kunkka,33,11.79%,45.45%,22,7.86%,55,19.64%,The Boston Major 2016
Sniper,18,6.43%,44.44%,37,13.21%,55,19.64%,The Boston Major 2016
Dragon Knight,34,12.14%,52.94%,19,6.79%,53,18.93%,The Boston Major 2016
Weaver,30,10.71%,43.33%,19,6.79%,49,17.50%,The Boston Major 2016
Beastmaster,26,9.29%,53.85%,22,7.86%,48,17.14%,The Boston Major 2016
Elder Titan,25,8.93%,44.00%,22,7.86%,47,16.79%,The Boston Major 2016
Dazzle,28,10.00%,46.43%,17,6.07%,45,16.07%,The Boston Major 2016
Silencer,24,8.57%,45.83%,21,7.50%,45,16.07%,The Boston Major 2016
Phantom Assassin,26,9.29%,61.54%,18,6.43%,44,15.71%,The Boston Major 2016
Templar Assassin,25,8.93%,40.00%,19,6.79%,44,15.71%,The Boston Major 2016
Razor,16,5.71%,50.00%,27,9.64%,43,15.36%,The Boston Major 2016
Clockwerk,29,10.36%,37.93%,14,5.00%,43,15.36%,The Boston Major 2016
Tidehunter,25,8.93%,48.00%,17,6.07%,42,15.00%,The Boston Major 2016
Puck,22,7.86%,36.36%,17,6.07%,39,13.93%,The Boston Major 2016
Chen,16,5.71%,68.75%,18,6.43%,34,12.14%,The Boston Major 2016
Pugna,14,5.00%,57.14%,18,6.43%,32,11.43%,The Boston Major 2016
Vengeful Spirit,23,8.21%,47.83%,8,2.86%,31,11.07%,The Boston Major 2016
Anti-Mage,10,3.57%,50.00%,17,6.07%,27,9.64%,The Boston Major 2016
Shadow Fiend,14,5.00%,42.86%,12,4.29%,26,9.29%,The Boston Major 2016
Enigma,12,4.29%,75.00%,13,4.64%,25,8.93%,The Boston Major 2016
Leshrac,16,5.71%,56.25%,9,3.21%,25,8.93%,The Boston Major 2016
Medusa,10,3.57%,50.00%,15,5.36%,25,8.93%,The Boston Major 2016
Terrorblade,9,3.21%,44.44%,14,5.00%,23,8.21%,The Boston Major 2016
Pudge,18,6.43%,22.22%,4,1.43%,22,7.86%,The Boston Major 2016
Enchantress,7,2.50%,57.14%,14,5.00%,21,7.50%,The Boston Major 2016
Jakiro,15,5.36%,53.33%,4,1.43%,19,6.79%,The Boston Major 2016
Venomancer,7,2.50%,42.86%,9,3.21%,16,5.71%,The Boston Major 2016
Magnus,9,3.21%,44.44%,7,2.50%,16,5.71%,The Boston Major 2016
Lion,10,3.57%,70.00%,5,1.79%,15,5.36%,The Boston Major 2016
Spirit Breaker,13,4.64%,53.85%,2,0.71%,15,5.36%,The Boston Major 2016
Huskar,3,1.07%,0.00%,11,3.93%,14,5.00%,The Boston Major 2016
Crystal Maiden,13,4.64%,76.92%,0,0.00%,13,4.64%,The Boston Major 2016
Treant Protector,11,3.93%,63.64%,2,0.71%,13,4.64%,The Boston Major 2016
Centaur Warrunner,10,3.57%,40.00%,3,1.07%,13,4.64%,The Boston Major 2016
Earthshaker,11,3.93%,63.64%,1,0.36%,12,4.29%,The Boston Major 2016
Death Prophet,6,2.14%,66.67%,6,2.14%,12,4.29%,The Boston Major 2016
Ancient Apparition,7,2.50%,57.14%,5,1.79%,12,4.29%,The Boston Major 2016
Winter Wyvern,9,3.21%,22.22%,3,1.07%,12,4.29%,The Boston Major 2016
Windranger,8,2.86%,62.50%,2,0.71%,10,3.57%,The Boston Major 2016
Doom,8,2.86%,37.50%,2,0.71%,10,3.57%,The Boston Major 2016
Skywrath Mage,9,3.21%,44.44%,1,0.36%,10,3.57%,The Boston Major 2016
Bloodseeker,6,2.14%,33.33%,3,1.07%,9,3.21%,The Boston Major 2016
Tiny,6,2.14%,66.67%,3,1.07%,9,3.21%,The Boston Major 2016
Gyrocopter,7,2.50%,42.86%,2,0.71%,9,3.21%,The Boston Major 2016
Meepo,1,0.36%,0.00%,7,2.50%,8,2.86%,The Boston Major 2016
Bane,7,2.50%,42.86%,0,0.00%,7,2.50%,The Boston Major 2016
Phantom Lancer,4,1.43%,50.00%,3,1.07%,7,2.50%,The Boston Major 2016
Lich,4,1.43%,50.00%,3,1.07%,7,2.50%,The Boston Major 2016
Broodmother,2,0.71%,0.00%,5,1.79%,7,2.50%,The Boston Major 2016
Bristleback,5,1.79%,20.00%,2,0.71%,7,2.50%,The Boston Major 2016
Clinkz,5,1.79%,20.00%,1,0.36%,6,2.14%,The Boston Major 2016
Night Stalker,6,2.14%,66.67%,0,0.00%,6,2.14%,The Boston Major 2016
Spectre,6,2.14%,66.67%,0,0.00%,6,2.14%,The Boston Major 2016
Visage,3,1.07%,33.33%,3,1.07%,6,2.14%,The Boston Major 2016
Ember Spirit,4,1.43%,50.00%,2,0.71%,6,2.14%,The Boston Major 2016
Phoenix,4,1.43%,75.00%,2,0.71%,6,2.14%,The Boston Major 2016
Zeus,4,1.43%,25.00%,1,0.36%,5,1.79%,The Boston Major 2016
Natures Prophet,4,1.43%,75.00%,1,0.36%,5,1.79%,The Boston Major 2016
Abaddon,4,1.43%,50.00%,1,0.36%,5,1.79%,The Boston Major 2016
Queen of Pain,3,1.07%,33.33%,1,0.36%,4,1.43%,The Boston Major 2016
Viper,2,0.71%,0.00%,2,0.71%,4,1.43%,The Boston Major 2016
Lone Druid,3,1.07%,33.33%,1,0.36%,4,1.43%,The Boston Major 2016
Shadow Shaman,2,0.71%,0.00%,1,0.36%,3,1.07%,The Boston Major 2016
Lycan,3,1.07%,33.33%,0,0.00%,3,1.07%,The Boston Major 2016
Chaos Knight,1,0.36%,0.00%,2,0.71%,3,1.07%,The Boston Major 2016
Lina,2,0.71%,100.00%,0,0.00%,2,0.71%,The Boston Major 2016
Necrophos,2,0.71%,50.00%,0,0.00%,2,0.71%,The Boston Major 2016
Wraith King,1,0.36%,100.00%,1,0.36%,2,0.71%,The Boston Major 2016
Brewmaster,2,0.71%,50.00%,0,0.00%,2,0.71%,The Boston Major 2016
Tusk,2,0.71%,50.00%,0,0.00%,2,0.71%,The Boston Major 2016
Troll Warlord,1,0.36%,0.00%,0,0.00%,1,0.36%,The Boston Major 2016
Beastmaster,105,33.12%,50.48%,165,52.05%,270,85.17%,The Manila Major 2016
Doom,117,36.91%,53.85%,117,36.91%,234,73.82%,The Manila Major 2016
Bounty Hunter,54,17.03%,59.26%,178,56.15%,232,73.19%,The Manila Major 2016
Alchemist,46,14.51%,54.35%,167,52.68%,213,67.19%,The Manila Major 2016
Enchantress,69,21.77%,46.38%,134,42.27%,203,64.04%,The Manila Major 2016
Slardar,129,40.69%,55.04%,60,18.93%,189,59.62%,The Manila Major 2016
Batrider,80,25.24%,46.25%,100,31.55%,180,56.78%,The Manila Major 2016
Dark Seer,85,26.81%,44.71%,92,29.02%,177,55.84%,The Manila Major 2016
Invoker,73,23.03%,45.21%,90,28.39%,163,51.42%,The Manila Major 2016
Io,52,16.40%,48.08%,111,35.02%,163,51.42%,The Manila Major 2016
Lifestealer,68,21.45%,57.35%,89,28.08%,157,49.53%,The Manila Major 2016
Lion,117,36.91%,52.99%,39,12.30%,156,49.21%,The Manila Major 2016
Earth Spirit,84,26.50%,51.19%,67,21.14%,151,47.63%,The Manila Major 2016
Vengeful Spirit,114,35.96%,53.51%,33,10.41%,147,46.37%,The Manila Major 2016
Puck,61,19.24%,50.82%,83,26.18%,144,45.43%,The Manila Major 2016
Witch Doctor,109,34.38%,42.20%,28,8.83%,137,43.22%,The Manila Major 2016
Natures Prophet,71,22.40%,46.48%,65,20.50%,136,42.90%,The Manila Major 2016
Juggernaut,68,21.45%,45.59%,60,18.93%,128,40.38%,The Manila Major 2016
Slark,57,17.98%,52.63%,63,19.87%,120,37.85%,The Manila Major 2016
Death Prophet,43,13.56%,58.14%,76,23.97%,119,37.54%,The Manila Major 2016
Phoenix,64,20.19%,45.31%,52,16.40%,116,36.59%,The Manila Major 2016
Disruptor,92,29.02%,58.70%,23,7.26%,115,36.28%,The Manila Major 2016
Faceless Void,61,19.24%,59.02%,52,16.40%,113,35.65%,The Manila Major 2016
Dragon Knight,65,20.50%,55.38%,41,12.93%,106,33.44%,The Manila Major 2016
Tidehunter,50,15.77%,52.00%,46,14.51%,96,30.28%,The Manila Major 2016
Sven,46,14.51%,52.17%,49,15.46%,95,29.97%,The Manila Major 2016
Mirana,62,19.56%,51.61%,32,10.09%,94,29.65%,The Manila Major 2016
Queen of Pain,54,17.03%,38.89%,39,12.30%,93,29.34%,The Manila Major 2016
Lone Druid,32,10.09%,46.88%,60,18.93%,92,29.02%,The Manila Major 2016
Lich,40,12.62%,57.50%,48,15.14%,88,27.76%,The Manila Major 2016
Gyrocopter,41,12.93%,58.54%,42,13.25%,83,26.18%,The Manila Major 2016
Ember Spirit,48,15.14%,41.67%,35,11.04%,83,26.18%,The Manila Major 2016
Axe,37,11.67%,27.03%,43,13.56%,80,25.24%,The Manila Major 2016
Night Stalker,33,10.41%,36.36%,37,11.67%,70,22.08%,The Manila Major 2016
Lycan,24,7.57%,50.00%,45,14.20%,69,21.77%,The Manila Major 2016
Drow Ranger,14,4.42%,64.29%,52,16.40%,66,20.82%,The Manila Major 2016
Medusa,24,7.57%,50.00%,40,12.62%,64,20.19%,The Manila Major 2016
Oracle,30,9.46%,60.00%,33,10.41%,63,19.87%,The Manila Major 2016
Spectre,32,10.09%,43.75%,25,7.89%,57,17.98%,The Manila Major 2016
Windranger,27,8.52%,48.15%,26,8.20%,53,16.72%,The Manila Major 2016
Broodmother,12,3.79%,50.00%,41,12.93%,53,16.72%,The Manila Major 2016
Riki,18,5.68%,72.22%,29,9.15%,47,14.83%,The Manila Major 2016
Ancient Apparition,20,6.31%,55.00%,27,8.52%,47,14.83%,The Manila Major 2016
Chen,14,4.42%,42.86%,32,10.09%,46,14.51%,The Manila Major 2016
Dazzle,34,10.73%,35.29%,10,3.15%,44,13.88%,The Manila Major 2016
Bane,31,9.78%,54.84%,12,3.79%,43,13.56%,The Manila Major 2016
Clinkz,18,5.68%,50.00%,24,7.57%,42,13.25%,The Manila Major 2016
Tinker,16,5.05%,62.50%,24,7.57%,40,12.62%,The Manila Major 2016
Weaver,18,5.68%,55.56%,22,6.94%,40,12.62%,The Manila Major 2016
Phantom Lancer,20,6.31%,40.00%,19,5.99%,39,12.30%,The Manila Major 2016
Enigma,25,7.89%,56.00%,10,3.15%,35,11.04%,The Manila Major 2016
Templar Assassin,18,5.68%,61.11%,15,4.73%,33,10.41%,The Manila Major 2016
Meepo,2,0.63%,100.00%,31,9.78%,33,10.41%,The Manila Major 2016
Anti-Mage,19,5.99%,52.63%,13,4.10%,32,10.09%,The Manila Major 2016
Venomancer,19,5.99%,52.63%,12,3.79%,31,9.78%,The Manila Major 2016
Chaos Knight,13,4.10%,30.77%,16,5.05%,29,9.15%,The Manila Major 2016
Rubick,20,6.31%,40.00%,9,2.84%,29,9.15%,The Manila Major 2016
Morphling,14,4.42%,50.00%,14,4.42%,28,8.83%,The Manila Major 2016
Winter Wyvern,17,5.36%,35.29%,11,3.47%,28,8.83%,The Manila Major 2016
Crystal Maiden,22,6.94%,59.09%,5,1.58%,27,8.52%,The Manila Major 2016
Viper,10,3.15%,70.00%,15,4.73%,25,7.89%,The Manila Major 2016
Abaddon,17,5.36%,47.06%,8,2.52%,25,7.89%,The Manila Major 2016
Earthshaker,16,5.05%,43.75%,6,1.89%,22,6.94%,The Manila Major 2016
Magnus,12,3.79%,41.67%,10,3.15%,22,6.94%,The Manila Major 2016
Bristleback,14,4.42%,42.86%,8,2.52%,22,6.94%,The Manila Major 2016
Tusk,15,4.73%,33.33%,6,1.89%,21,6.62%,The Manila Major 2016
Elder Titan,14,4.42%,78.57%,7,2.21%,21,6.62%,The Manila Major 2016
Naga Siren,10,3.15%,70.00%,10,3.15%,20,6.31%,The Manila Major 2016
Tiny,13,4.10%,46.15%,6,1.89%,19,5.99%,The Manila Major 2016
Timbersaw,15,4.73%,40.00%,2,0.63%,17,5.36%,The Manila Major 2016
Razor,9,2.84%,33.33%,7,2.21%,16,5.05%,The Manila Major 2016
Lina,13,4.10%,61.54%,3,0.95%,16,5.05%,The Manila Major 2016
Nyx Assassin,11,3.47%,36.36%,5,1.58%,16,5.05%,The Manila Major 2016
Spirit Breaker,12,3.79%,41.67%,3,0.95%,15,4.73%,The Manila Major 2016
Terrorblade,8,2.52%,50.00%,7,2.21%,15,4.73%,The Manila Major 2016
Jakiro,11,3.47%,27.27%,3,0.95%,14,4.42%,The Manila Major 2016
Sand King,11,3.47%,63.64%,2,0.63%,13,4.10%,The Manila Major 2016
Ursa,6,1.89%,50.00%,7,2.21%,13,4.10%,The Manila Major 2016
Storm Spirit,7,2.21%,14.29%,5,1.58%,12,3.79%,The Manila Major 2016
Huskar,6,1.89%,33.33%,6,1.89%,12,3.79%,The Manila Major 2016
Clockwerk,8,2.52%,62.50%,3,0.95%,11,3.47%,The Manila Major 2016
Shadow Demon,7,2.21%,57.14%,4,1.26%,11,3.47%,The Manila Major 2016
Leshrac,7,2.21%,57.14%,3,0.95%,10,3.15%,The Manila Major 2016
Undying,8,2.52%,37.50%,2,0.63%,10,3.15%,The Manila Major 2016
Shadow Fiend,7,2.21%,28.57%,0,0.00%,7,2.21%,The Manila Major 2016
Kunkka,4,1.26%,25.00%,2,0.63%,6,1.89%,The Manila Major 2016
Necrophos,1,0.32%,100.00%,5,1.58%,6,1.89%,The Manila Major 2016
Skywrath Mage,6,1.89%,50.00%,0,0.00%,6,1.89%,The Manila Major 2016
Wraith King,5,1.58%,80.00%,0,0.00%,5,1.58%,The Manila Major 2016
Pugna,3,0.95%,33.33%,2,0.63%,5,1.58%,The Manila Major 2016
Legion Commander,5,1.58%,20.00%,0,0.00%,5,1.58%,The Manila Major 2016
Shadow Shaman,4,1.26%,0.00%,0,0.00%,4,1.26%,The Manila Major 2016
Luna,4,1.26%,75.00%,0,0.00%,4,1.26%,The Manila Major 2016
Visage,4,1.26%,25.00%,0,0.00%,4,1.26%,The Manila Major 2016
Centaur Warrunner,3,0.95%,66.67%,1,0.32%,4,1.26%,The Manila Major 2016
Zeus,1,0.32%,0.00%,2,0.63%,3,0.95%,The Manila Major 2016
Phantom Assassin,3,0.95%,33.33%,0,0.00%,3,0.95%,The Manila Major 2016
Omniknight,0,0.00%,0.00%,3,0.95%,3,0.95%,The Manila Major 2016
Keeper of the Light,3,0.95%,66.67%,0,0.00%,3,0.95%,The Manila Major 2016
Pudge,1,0.32%,100.00%,1,0.32%,2,0.63%,The Manila Major 2016
Silencer,2,0.63%,0.00%,0,0.00%,2,0.63%,The Manila Major 2016
Outworld Devourer,1,0.32%,100.00%,1,0.32%,2,0.63%,The Manila Major 2016
Treant Protector,2,0.63%,0.00%,0,0.00%,2,0.63%,The Manila Major 2016
Warlock,0,0.00%,0.00%,1,0.32%,1,0.32%,The Manila Major 2016
Brewmaster,1,0.32%,0.00%,0,0.00%,1,0.32%,The Manila Major 2016
Ogre Magi,1,0.32%,0.00%,0,0.00%,1,0.32%,The Manila Major 2016
Techies,1,0.32%,0.00%,0,0.00%,1,0.32%,The Manila Major 2016