ban_rate,event,hero,no_bans,no_picks,no_picks_bans,pick_ban_rate,pick_rate,win_rate,attribute
3.09%,The International 2013,Viper,5,4,9,5.56%,2.47%,75.00%,Agility
1.85%,The International 2013,Skywrath Mage,3,4,7,4.32%,2.47%,25.00%,Intelligence
0.62%,The International 2013,Silencer,1,5,6,3.70%,3.09%,40.00%,Intelligence
0.62%,The International 2013,Pudge,1,4,5,3.09%,2.47%,75.00%,Strength
1.23%,The International 2013,Kunkka,2,3,5,3.09%,1.85%,33.33%,Strength
2.47%,The International 2013,Disruptor,4,1,5,3.09%,0.62%,0.00%,Intelligence
1.23%,The International 2013,Axe,2,2,4,2.47%,1.23%,50.00%,Strength
0.00%,The International 2013,Lion,0,4,4,2.47%,2.47%,0.00%,Intelligence
0.62%,The International 2013,Lich,1,3,4,2.47%,1.85%,33.33%,Intelligence
1.23%,The International 2013,Faceless Void,2,2,4,2.47%,1.23%,0.00%,Agility
0.00%,The International 2013,Luna,0,4,4,2.47%,2.47%,50.00%,Agility
1.23%,The International 2013,Ancient Apparition,2,2,4,2.47%,1.23%,100.00%,Intelligence
0.62%,The International 2013,Sven,1,2,3,1.85%,1.23%,50.00%,Strength
0.62%,The International 2013,Clinkz,1,2,3,1.85%,1.23%,50.00%,Agility
0.62%,The International 2013,Undying,1,2,3,1.85%,1.23%,50.00%,Strength
0.00%,The International 2013,Bloodseeker,0,2,2,1.23%,1.23%,0.00%,Agility
0.62%,The International 2013,Shadow Shaman,1,1,2,1.23%,0.62%,100.00%,Intelligence
0.00%,The International 2013,Slardar,0,2,2,1.23%,1.23%,50.00%,Strength
0.00%,The International 2013,Pugna,0,2,2,1.23%,1.23%,50.00%,Intelligence
0.00%,The International 2013,Dazzle,0,2,2,1.23%,1.23%,0.00%,Intelligence
0.00%,The International 2013,Omniknight,0,2,2,1.23%,1.23%,50.00%,Strength
0.62%,The International 2013,Spirit Breaker,1,1,2,1.23%,0.62%,0.00%,Strength
0.62%,The International 2013,Meepo,1,1,2,1.23%,0.62%,0.00%,Agility
0.00%,The International 2013,Slark,0,2,2,1.23%,1.23%,0.00%,Agility
0.00%,The International 2013,Tiny,0,1,1,0.62%,0.62%,0.00%,Strength
0.00%,The International 2013,Zeus,0,1,1,0.62%,0.62%,0.00%,Intelligence
0.00%,The International 2013,Sniper,0,1,1,0.62%,0.62%,100.00%,Agility
0.00%,The International 2013,Warlock,0,1,1,0.62%,0.62%,0.00%,Intelligence
0.00%,The International 2013,Wraith King,0,1,1,0.62%,0.62%,100.00%,Strength
0.00%,The International 2013,Night Stalker,0,1,1,0.62%,0.62%,100.00%,Strength
0.00%,The International 2013,Broodmother,0,1,1,0.62%,0.62%,0.00%,Agility
0.00%,The International 2013,Invoker,0,1,1,0.62%,0.62%,100.00%,Intelligence
0.00%,The International 2013,Ogre Magi,0,1,1,0.62%,0.62%,0.00%,Intelligence
0.62%,The International 2013,Bristleback,1,0,1,0.62%,0.00%,0.00%,Strength
,The International 2013,Monkey King,,,,,,,Agility
,The International 2013,Underlord,,,,,,,Strength
,The International 2013,Arc Warden,,,,,,,Agility
,The International 2013,Winter Wyvern,,,,,,,Intelligence
,The International 2013,Oracle,,,,,,,Intelligence
,The International 2013,Techies,,,,,,,Intelligence
,The International 2013,Terrorblade,,,,,,,Agility
,The International 2013,Phoenix,,,,,,,Strength
,The International 2013,Legion Commander,,,,,,,Strength
,The International 2013,Earth Spirit,,,,,,,Strength
,The International 2013,Ember Spirit,,,,,,,Agility
0,The International 2013,Abaddon,0,0,0,0,0,0,Strength
0,The International 2013,Brewmaster,0,0,0,0,0,0,Strength
0,The International 2013,Centaur Warrunner,0,0,0,0,0,0,Strength
0,The International 2013,Elder Titan,0,0,0,0,0,0,Strength
0,The International 2013,Huskar,0,0,0,0,0,0,Strength
0,The International 2013,Lycan,0,0,0,0,0,0,Strength
0,The International 2013,Tusk,0,0,0,0,0,0,Strength
0,The International 2013,Drow Ranger,0,0,0,0,0,0,Agility
0,The International 2013,Medusa,0,0,0,0,0,0,Agility
0,The International 2013,Phantom Assassin,0,0,0,0,0,0,Agility
0,The International 2013,Riki,0,0,0,0,0,0,Agility
0,The International 2013,Troll Warlord,0,0,0,0,0,0,Agility
0,The International 2013,Death Prophet,0,0,0,0,0,0,Intelligence
0,The International 2013,Necrophos,0,0,0,0,0,0,Intelligence
0,The International 2013,Witch Doctor,0,0,0,0,0,0,Intelligence
86.63%,The International 2014,Lycan,149,20,169,98.26%,11.63%,70.00%,Strength
54.07%,The International 2014,Doom,93,63,156,90.70%,36.63%,60.32%,Strength
37.79%,The International 2014,Razor,65,87,152,88.37%,50.58%,43.68%,Agility
50.58%,The International 2014,Brewmaster,87,56,143,83.14%,32.56%,48.21%,Strength
23.26%,The International 2014,Shadow Shaman,40,83,123,71.51%,48.26%,56.63%,Intelligence
34.88%,The International 2014,Tidehunter,60,60,120,69.77%,34.88%,41.67%,Strength
18.02%,The International 2014,Skywrath Mage,31,83,114,66.28%,48.26%,49.40%,Intelligence
34.88%,The International 2014,Faceless Void,60,53,113,65.70%,30.81%,39.62%,Agility
52.33%,The International 2014,Tinker,90,21,111,64.53%,12.21%,42.86%,Intelligence
29.07%,The International 2014,Mirana,50,59,109,63.37%,34.30%,49.15%,Agility
27.91%,The International 2014,Enigma,48,47,95,55.23%,27.33%,55.32%,Intelligence
33.14%,The International 2014,Batrider,57,38,95,55.23%,22.09%,47.37%,Intelligence
23.26%,The International 2014,Natures Prophet,40,49,89,51.74%,28.49%,53.06%,Intelligence
35.47%,The International 2014,Naga Siren,61,17,78,45.35%,9.88%,35.29%,Agility
20.93%,The International 2014,Viper,36,40,76,44.19%,23.26%,55.00%,Agility
12.21%,The International 2014,Earthshaker,21,52,73,42.44%,30.23%,59.62%,Strength
15.12%,The International 2014,Wraith King,26,46,72,41.86%,26.74%,47.83%,Strength
18.02%,The International 2014,Ancient Apparition,31,38,69,40.12%,22.09%,47.37%,Intelligence
20.35%,The International 2014,Ember Spirit,35,32,67,38.95%,18.60%,56.25%,Agility
20.35%,The International 2014,Invoker,35,29,64,37.21%,16.86%,51.72%,Intelligence
17.44%,The International 2014,Morphling,30,33,63,36.63%,19.19%,60.61%,Agility
27.33%,The International 2014,Io,47,14,61,35.47%,8.14%,42.86%,Strength
12.79%,The International 2014,Rubick,22,36,58,33.72%,20.93%,47.22%,Intelligence
16.28%,The International 2014,Shadow Demon,28,29,57,33.14%,16.86%,58.62%,Intelligence
24.42%,The International 2014,Pugna,42,11,53,30.81%,6.40%,54.55%,Intelligence
18.60%,The International 2014,Enchantress,32,20,52,30.23%,11.63%,45.00%,Intelligence
15.70%,The International 2014,Lich,27,23,50,29.07%,13.37%,47.83%,Intelligence
18.60%,The International 2014,Death Prophet,32,18,50,29.07%,10.47%,55.56%,Intelligence
9.30%,The International 2014,Sand King,16,25,41,23.84%,14.53%,32.00%,Strength
9.30%,The International 2014,Weaver,16,23,39,22.67%,13.37%,69.57%,Agility
11.05%,The International 2014,Venomancer,19,19,38,22.09%,11.05%,36.84%,Agility
8.14%,The International 2014,Bane,14,23,37,21.51%,13.37%,34.78%,Intelligence
4.65%,The International 2014,Alchemist,8,25,33,19.19%,14.53%,64.00%,Strength
6.98%,The International 2014,Bristleback,12,21,33,19.19%,12.21%,47.62%,Strength
6.98%,The International 2014,Puck,12,18,30,17.44%,10.47%,50.00%,Intelligence
6.40%,The International 2014,Dragon Knight,11,19,30,17.44%,11.05%,52.63%,Strength
7.56%,The International 2014,Clockwerk,13,15,28,16.28%,8.72%,53.33%,Strength
5.81%,The International 2014,Centaur Warrunner,10,16,26,15.12%,9.30%,68.75%,Strength
7.56%,The International 2014,Templar Assassin,13,12,25,14.53%,6.98%,50.00%,Agility
3.49%,The International 2014,Treant Protector,6,19,25,14.53%,11.05%,36.84%,Strength
9.30%,The International 2014,Visage,16,8,24,13.95%,4.65%,62.50%,Intelligence
5.23%,The International 2014,Queen of Pain,9,14,23,13.37%,8.14%,42.86%,Intelligence
6.40%,The International 2014,Lone Druid,11,11,22,12.79%,6.40%,45.45%,Agility
5.81%,The International 2014,Storm Spirit,10,10,20,11.63%,5.81%,50.00%,Intelligence
4.65%,The International 2014,Luna,8,12,20,11.63%,6.98%,50.00%,Agility
2.91%,The International 2014,Lion,5,14,19,11.05%,8.14%,28.57%,Intelligence
0.58%,The International 2014,Vengeful Spirit,1,17,18,10.47%,9.88%,52.94%,Agility
6.40%,The International 2014,Outworld Devourer,11,7,18,10.47%,4.07%,28.57%,Intelligence
3.49%,The International 2014,Elder Titan,6,12,18,10.47%,6.98%,58.33%,Strength
3.49%,The International 2014,Kunkka,6,10,16,9.30%,5.81%,50.00%,Strength
1.74%,The International 2014,Leshrac,3,12,15,8.72%,6.98%,66.67%,Intelligence
3.49%,The International 2014,Disruptor,6,9,15,8.72%,5.23%,55.56%,Intelligence
2.91%,The International 2014,Lifestealer,5,9,14,8.14%,5.23%,55.56%,Strength
3.49%,The International 2014,Ursa,6,8,14,8.14%,4.65%,62.50%,Agility
4.07%,The International 2014,Nyx Assassin,7,7,14,8.14%,4.07%,71.43%,Agility
5.23%,The International 2014,Troll Warlord,9,5,14,8.14%,2.91%,20.00%,Agility
2.91%,The International 2014,Shadow Fiend,5,8,13,7.56%,4.65%,50.00%,Agility
2.33%,The International 2014,Jakiro,4,9,13,7.56%,5.23%,11.11%,Intelligence
5.23%,The International 2014,Slark,9,4,13,7.56%,2.33%,25.00%,Agility
0.58%,The International 2014,Witch Doctor,1,10,11,6.40%,5.81%,60.00%,Intelligence
1.16%,The International 2014,Juggernaut,2,8,10,5.81%,4.65%,75.00%,Agility
1.74%,The International 2014,Dazzle,3,7,10,5.81%,4.07%,42.86%,Intelligence
1.74%,The International 2014,Dark Seer,3,7,10,5.81%,4.07%,42.86%,Intelligence
1.16%,The International 2014,Chen,2,8,10,5.81%,4.65%,37.50%,Intelligence
2.33%,The International 2014,Silencer,4,5,9,5.23%,2.91%,20.00%,Intelligence
0.58%,The International 2014,Timbersaw,1,8,9,5.23%,4.65%,37.50%,Strength
2.33%,The International 2014,Anti-Mage,4,4,8,4.65%,2.33%,25.00%,Agility
2.91%,The International 2014,Drow Ranger,5,3,8,4.65%,1.74%,100.00%,Agility
0.58%,The International 2014,Tiny,1,7,8,4.65%,4.07%,71.43%,Strength
0.58%,The International 2014,Windranger,1,7,8,4.65%,4.07%,57.14%,Intelligence
0.00%,The International 2014,Beastmaster,0,8,8,4.65%,4.65%,37.50%,Strength
2.33%,The International 2014,Phantom Assassin,4,4,8,4.65%,2.33%,0.00%,Agility
1.74%,The International 2014,Clinkz,3,5,8,4.65%,2.91%,20.00%,Agility
2.91%,The International 2014,Gyrocopter,5,3,8,4.65%,1.74%,66.67%,Agility
1.74%,The International 2014,Axe,3,4,7,4.07%,2.33%,0.00%,Strength
1.74%,The International 2014,Spectre,3,4,7,4.07%,2.33%,75.00%,Agility
1.74%,The International 2014,Meepo,3,4,7,4.07%,2.33%,50.00%,Agility
1.16%,The International 2014,Abaddon,2,5,7,4.07%,2.91%,80.00%,Strength
1.74%,The International 2014,Magnus,3,2,5,2.91%,1.16%,50.00%,Strength
0.00%,The International 2014,Undying,0,4,4,2.33%,2.33%,75.00%,Strength
1.16%,The International 2014,Tusk,2,2,4,2.33%,1.16%,50.00%,Strength
0.58%,The International 2014,Sven,1,2,3,1.74%,1.16%,50.00%,Strength
0.00%,The International 2014,Sniper,0,3,3,1.74%,1.74%,33.33%,Agility
0.00%,The International 2014,Bounty Hunter,0,3,3,1.74%,1.74%,100.00%,Agility
0.58%,The International 2014,Chaos Knight,1,2,3,1.74%,1.16%,50.00%,Strength
0.00%,The International 2014,Ogre Magi,0,3,3,1.74%,1.74%,0.00%,Intelligence
0.00%,The International 2014,Zeus,0,2,2,1.16%,1.16%,0.00%,Intelligence
0.00%,The International 2014,Riki,0,2,2,1.16%,1.16%,0.00%,Agility
0.58%,The International 2014,Warlock,1,1,2,1.16%,0.58%,100.00%,Intelligence
0.00%,The International 2014,Pudge,0,1,1,0.58%,0.58%,100.00%,Strength
0.00%,The International 2014,Lina,0,1,1,0.58%,0.58%,0.00%,Intelligence
0.00%,The International 2014,Necrophos,0,1,1,0.58%,0.58%,100.00%,Intelligence
0.00%,The International 2014,Omniknight,0,1,1,0.58%,0.58%,100.00%,Strength
0.00%,The International 2014,Medusa,0,1,1,0.58%,0.58%,0.00%,Agility
,The International 2014,Monkey King,,,,,,,Agility
,The International 2014,Underlord,,,,,,,Strength
,The International 2014,Arc Warden,,,,,,,Agility
,The International 2014,Winter Wyvern,,,,,,,Intelligence
,The International 2014,Oracle,,,,,,,Intelligence
,The International 2014,Techies,,,,,,,Intelligence
,The International 2014,Terrorblade,,,,,,,Agility
,The International 2014,Earth Spirit,,,,,,,Strength
,The International 2014,Legion Commander,,,,,,,Strength
0,The International 2014,Huskar,0,0,0,0,0,0,Strength
0,The International 2014,Night Stalker,0,0,0,0,0,0,Strength
0,The International 2014,Phoenix,0,0,0,0,0,0,Strength
0,The International 2014,Slardar,0,0,0,0,0,0,Strength
0,The International 2014,Spirit Breaker,0,0,0,0,0,0,Strength
0,The International 2014,Bloodseeker,0,0,0,0,0,0,Agility
0,The International 2014,Broodmother,0,0,0,0,0,0,Agility
0,The International 2014,Phantom Lancer,0,0,0,0,0,0,Agility
0,The International 2014,Crystal Maiden,0,0,0,0,0,0,Intelligence
0,The International 2014,Keeper of the Light,0,0,0,0,0,0,Intelligence
90.70%,The International 2015,Leshrac,156,16,172,100.00%,9.30%,62.50%,Intelligence
45.93%,The International 2015,Gyrocopter,79,93,172,100.00%,54.07%,60.22%,Agility
36.05%,The International 2015,Queen of Pain,62,96,158,91.86%,55.81%,43.75%,Intelligence
34.88%,The International 2015,Tusk,60,90,150,87.21%,52.33%,52.22%,Strength
52.33%,The International 2015,Shadow Fiend,90,51,141,81.98%,29.65%,39.22%,Agility
52.33%,The International 2015,Bounty Hunter,90,51,141,81.98%,29.65%,68.63%,Agility
25.58%,The International 2015,Lina,44,95,139,80.81%,55.23%,55.79%,Intelligence
29.07%,The International 2015,Dazzle,50,86,136,79.07%,50.00%,46.51%,Intelligence
51.74%,The International 2015,Naga Siren,89,42,131,76.16%,24.42%,54.76%,Agility
46.51%,The International 2015,Undying,80,46,126,73.26%,26.74%,50.00%,Strength
26.74%,The International 2015,Earthshaker,46,76,122,70.93%,44.19%,46.05%,Strength
29.65%,The International 2015,Dark Seer,51,51,102,59.30%,29.65%,54.90%,Intelligence
28.49%,The International 2015,Winter Wyvern,49,48,97,56.40%,27.91%,41.67%,Intelligence
33.72%,The International 2015,Bloodseeker,58,37,95,55.23%,21.51%,37.84%,Agility
25.00%,The International 2015,Storm Spirit,43,51,94,54.65%,29.65%,54.90%,Intelligence
22.09%,The International 2015,Clockwerk,38,53,91,52.91%,30.81%,49.06%,Strength
40.12%,The International 2015,Broodmother,69,14,83,48.26%,8.14%,64.29%,Agility
19.77%,The International 2015,Rubick,34,49,83,48.26%,28.49%,48.98%,Intelligence
28.49%,The International 2015,Phantom Lancer,49,27,76,44.19%,15.70%,62.96%,Agility
19.19%,The International 2015,Razor,33,40,73,42.44%,23.26%,37.50%,Agility
20.93%,The International 2015,Spirit Breaker,36,36,72,41.86%,20.93%,52.78%,Strength
23.84%,The International 2015,Anti-Mage,41,27,68,39.53%,15.70%,48.15%,Agility
15.70%,The International 2015,Ember Spirit,27,32,59,34.30%,18.60%,43.75%,Agility
16.86%,The International 2015,Io,29,26,55,31.98%,15.12%,53.85%,Strength
20.93%,The International 2015,Viper,36,16,52,30.23%,9.30%,50.00%,Agility
15.12%,The International 2015,Templar Assassin,26,25,51,29.65%,14.53%,72.00%,Agility
7.56%,The International 2015,Witch Doctor,13,36,49,28.49%,20.93%,41.67%,Intelligence
12.21%,The International 2015,Dragon Knight,21,22,43,25.00%,12.79%,59.09%,Strength
8.14%,The International 2015,Bane,14,28,42,24.42%,16.28%,35.71%,Intelligence
11.05%,The International 2015,Disruptor,19,20,39,22.67%,11.63%,55.00%,Intelligence
2.33%,The International 2015,Crystal Maiden,4,27,31,18.02%,15.70%,62.96%,Intelligence
13.37%,The International 2015,Techies,23,8,31,18.02%,4.65%,87.50%,Intelligence
4.07%,The International 2015,Lion,7,22,29,16.86%,12.79%,40.91%,Intelligence
9.30%,The International 2015,Silencer,16,11,27,15.70%,6.40%,63.64%,Intelligence
9.88%,The International 2015,Ancient Apparition,17,8,25,14.53%,4.65%,50.00%,Intelligence
3.49%,The International 2015,Clinkz,6,14,20,11.63%,8.14%,50.00%,Agility
4.07%,The International 2015,Sand King,7,12,19,11.05%,6.98%,66.67%,Strength
3.49%,The International 2015,Skywrath Mage,6,12,18,10.47%,6.98%,16.67%,Intelligence
4.07%,The International 2015,Pugna,7,10,17,9.88%,5.81%,40.00%,Intelligence
2.33%,The International 2015,Visage,4,13,17,9.88%,7.56%,69.23%,Intelligence
3.49%,The International 2015,Bristleback,6,9,15,8.72%,5.23%,66.67%,Strength
2.91%,The International 2015,Luna,5,9,14,8.14%,5.23%,66.67%,Agility
4.07%,The International 2015,Juggernaut,7,6,13,7.56%,3.49%,33.33%,Agility
1.16%,The International 2015,Zeus,2,11,13,7.56%,6.40%,27.27%,Intelligence
3.49%,The International 2015,Shadow Demon,6,6,12,6.98%,3.49%,33.33%,Intelligence
1.16%,The International 2015,Tiny,2,9,11,6.40%,5.23%,44.44%,Strength
2.91%,The International 2015,Enigma,5,6,11,6.40%,3.49%,66.67%,Intelligence
1.16%,The International 2015,Treant Protector,2,8,10,5.81%,4.65%,50.00%,Strength
1.74%,The International 2015,Magnus,3,7,10,5.81%,4.07%,42.86%,Strength
1.16%,The International 2015,Phoenix,2,8,10,5.81%,4.65%,37.50%,Strength
1.74%,The International 2015,Axe,3,6,9,5.23%,3.49%,33.33%,Strength
0.58%,The International 2015,Puck,1,8,9,5.23%,4.65%,62.50%,Intelligence
2.33%,The International 2015,Tidehunter,4,5,9,5.23%,2.91%,20.00%,Strength
2.33%,The International 2015,Keeper of the Light,4,5,9,5.23%,2.91%,20.00%,Intelligence
1.74%,The International 2015,Centaur Warrunner,3,6,9,5.23%,3.49%,33.33%,Strength
0.00%,The International 2015,Shadow Shaman,0,8,8,4.65%,4.65%,25.00%,Intelligence
2.91%,The International 2015,Beastmaster,5,3,8,4.65%,1.74%,100.00%,Strength
1.16%,The International 2015,Slardar,2,5,7,4.07%,2.91%,40.00%,Strength
1.16%,The International 2015,Wraith King,2,5,7,4.07%,2.91%,60.00%,Strength
1.74%,The International 2015,Legion Commander,3,4,7,4.07%,2.33%,0.00%,Strength
0.58%,The International 2015,Windranger,1,5,6,3.49%,2.91%,40.00%,Intelligence
1.74%,The International 2015,Natures Prophet,3,3,6,3.49%,1.74%,33.33%,Intelligence
1.16%,The International 2015,Omniknight,2,4,6,3.49%,2.33%,50.00%,Strength
1.16%,The International 2015,Chen,2,4,6,3.49%,2.33%,25.00%,Intelligence
1.16%,The International 2015,Drow Ranger,2,3,5,2.91%,1.74%,33.33%,Agility
0.00%,The International 2015,Sven,0,5,5,2.91%,2.91%,40.00%,Strength
0.58%,The International 2015,Night Stalker,1,4,5,2.91%,2.33%,50.00%,Strength
0.58%,The International 2015,Lycan,1,4,5,2.91%,2.33%,50.00%,Strength
0.58%,The International 2015,Enchantress,1,3,4,2.33%,1.74%,66.67%,Intelligence
0.00%,The International 2015,Invoker,0,4,4,2.33%,2.33%,0.00%,Intelligence
1.16%,The International 2015,Chaos Knight,2,2,4,2.33%,1.16%,50.00%,Strength
0.58%,The International 2015,Slark,1,3,4,2.33%,1.74%,33.33%,Agility
0.00%,The International 2015,Phantom Assassin,0,3,3,1.74%,1.74%,33.33%,Agility
0.58%,The International 2015,Vengeful Spirit,1,1,2,1.16%,0.58%,100.00%,Agility
0.00%,The International 2015,Lich,0,2,2,1.16%,1.16%,100.00%,Intelligence
0.00%,The International 2015,Sniper,0,2,2,1.16%,1.16%,50.00%,Agility
0.00%,The International 2015,Venomancer,0,2,2,1.16%,1.16%,50.00%,Agility
0.58%,The International 2015,Huskar,1,1,2,1.16%,0.58%,0.00%,Strength
0.58%,The International 2015,Batrider,1,1,2,1.16%,0.58%,0.00%,Intelligence
0.58%,The International 2015,Spectre,1,1,2,1.16%,0.58%,100.00%,Agility
0.00%,The International 2015,Brewmaster,0,2,2,1.16%,1.16%,50.00%,Strength
0.58%,The International 2015,Nyx Assassin,1,1,2,1.16%,0.58%,0.00%,Agility
0.00%,The International 2015,Timbersaw,0,2,2,1.16%,1.16%,50.00%,Strength
0.00%,The International 2015,Morphling,0,1,1,0.58%,0.58%,100.00%,Agility
0.58%,The International 2015,Pudge,1,0,1,0.58%,0.00%,0.00%,Strength
0.00%,The International 2015,Tinker,0,1,1,0.58%,0.58%,0.00%,Intelligence
0.00%,The International 2015,Lifestealer,0,1,1,0.58%,0.58%,100.00%,Strength
0.00%,The International 2015,Jakiro,0,1,1,0.58%,0.58%,0.00%,Intelligence
0.00%,The International 2015,Ursa,0,1,1,0.58%,0.58%,0.00%,Agility
0.58%,The International 2015,Outworld Devourer,1,0,1,0.58%,0.00%,0.00%,Intelligence
0.00%,The International 2015,Medusa,0,1,1,0.58%,0.58%,0.00%,Agility
0.00%,The International 2015,Abaddon,0,1,1,0.58%,0.58%,0.00%,Strength
,The International 2015,Monkey King,,,,,,,Agility
,The International 2015,Underlord,,,,,,,Strength
,The International 2015,Arc Warden,,,,,,,Agility
,The International 2015,Earth Spirit,,,,,,,Strength
,The International 2015,Oracle,,,,,,,Intelligence
0,The International 2015,Alchemist,0,0,0,0,0,0,Strength
0,The International 2015,Doom,0,0,0,0,0,0,Strength
0,The International 2015,Elder Titan,0,0,0,0,0,0,Strength
0,The International 2015,Kunkka,0,0,0,0,0,0,Strength
0,The International 2015,Faceless Void,0,0,0,0,0,0,Agility
0,The International 2015,Lone Druid,0,0,0,0,0,0,Agility
0,The International 2015,Meepo,0,0,0,0,0,0,Agility
0,The International 2015,Mirana,0,0,0,0,0,0,Agility
0,The International 2015,Riki,0,0,0,0,0,0,Agility
0,The International 2015,Terrorblade,0,0,0,0,0,0,Agility
0,The International 2015,Troll Warlord,0,0,0,0,0,0,Agility
0,The International 2015,Weaver,0,0,0,0,0,0,Agility
0,The International 2015,Death Prophet,0,0,0,0,0,0,Intelligence
0,The International 2015,Necrophos,0,0,0,0,0,0,Intelligence
0,The International 2015,Ogre Magi,0,0,0,0,0,0,Intelligence
0,The International 2015,Warlock,0,0,0,0,0,0,Intelligence
32.93%,The International 2016,Mirana,55,87,142,85.03%,52.10%,58.62%,Agility
34.13%,The International 2016,Batrider,57,78,135,80.84%,46.71%,44.87%,Intelligence
51.50%,The International 2016,Elder Titan,86,49,135,80.84%,29.34%,63.27%,Strength
57.49%,The International 2016,Io,96,29,125,74.85%,17.37%,48.28%,Strength
