ban_rate,event,hero,no_bans,no_picks,no_picks_bans,pick_ban_rate,pick_rate,win_rate,attribute
47.31%,The International 2016,Drow Ranger,79,44,123,73.65%,26.35%,56.82%,Agility
37.72%,The International 2016,Shadow Demon,63,59,122,73.05%,35.33%,59.32%,Intelligence
43.71%,The International 2016,Naga Siren,73,26,99,59.28%,15.57%,57.69%,Agility
28.14%,The International 2016,Oracle,47,47,94,56.29%,28.14%,51.06%,Intelligence
35.93%,The International 2016,Alchemist,60,30,90,53.89%,17.96%,26.67%,Strength
25.75%,The International 2016,Timbersaw,43,47,90,53.89%,28.14%,53.19%,Strength
23.35%,The International 2016,Juggernaut,39,43,82,49.10%,25.75%,53.49%,Agility
35.93%,The International 2016,Huskar,60,21,81,48.50%,12.57%,57.14%,Strength
13.17%,The International 2016,Ogre Magi,22,57,79,47.31%,34.13%,43.86%,Intelligence
17.37%,The International 2016,Faceless Void,29,47,76,45.51%,28.14%,46.81%,Agility
19.76%,The International 2016,Axe,33,38,71,42.51%,22.75%,55.26%,Strength
18.56%,The International 2016,Beastmaster,31,38,69,41.32%,22.75%,50.00%,Strength
20.36%,The International 2016,Morphling,34,27,61,36.53%,16.17%,59.26%,Agility
26.35%,The International 2016,Riki,44,17,61,36.53%,10.18%,52.94%,Agility
17.96%,The International 2016,Keeper of the Light,30,29,59,35.33%,17.37%,44.83%,Intelligence
17.37%,The International 2016,Sand King,29,29,58,34.73%,17.37%,58.62%,Strength
13.77%,The International 2016,Kunkka,23,34,57,34.13%,20.36%,61.76%,Strength
13.17%,The International 2016,Dazzle,22,35,57,34.13%,20.96%,37.14%,Intelligence
14.37%,The International 2016,Lifestealer,24,32,56,33.53%,19.16%,34.38%,Strength
14.97%,The International 2016,Slark,25,27,52,31.14%,16.17%,55.56%,Agility
13.77%,The International 2016,Nyx Assassin,23,27,50,29.94%,16.17%,62.96%,Agility
14.37%,The International 2016,Bounty Hunter,24,24,48,28.74%,14.37%,62.50%,Agility
11.38%,The International 2016,Slardar,19,28,47,28.14%,16.77%,53.57%,Strength
14.97%,The International 2016,Invoker,25,22,47,28.14%,13.17%,45.45%,Intelligence
17.37%,The International 2016,Dark Seer,29,15,44,26.35%,8.98%,33.33%,Intelligence
15.57%,The International 2016,Death Prophet,26,16,42,25.15%,9.58%,50.00%,Intelligence
16.17%,The International 2016,Storm Spirit,27,13,40,23.95%,7.78%,46.15%,Intelligence
5.39%,The International 2016,Vengeful Spirit,9,30,39,23.35%,17.96%,50.00%,Agility
17.37%,The International 2016,Tinker,29,10,39,23.35%,5.99%,30.00%,Intelligence
11.98%,The International 2016,Enchantress,20,17,37,22.16%,10.18%,17.65%,Intelligence
10.78%,The International 2016,Terrorblade,18,18,36,21.56%,10.78%,38.89%,Agility
10.18%,The International 2016,Razor,17,18,35,20.96%,10.78%,66.67%,Agility
10.78%,The International 2016,Tidehunter,18,17,35,20.96%,10.18%,41.18%,Strength
11.38%,The International 2016,Chen,19,14,33,19.76%,8.38%,64.29%,Intelligence
10.18%,The International 2016,Ursa,17,16,33,19.76%,9.58%,68.75%,Agility
5.99%,The International 2016,Earth Spirit,10,22,32,19.16%,13.17%,18.18%,Strength
7.19%,The International 2016,Sven,12,19,31,18.56%,11.38%,47.37%,Strength
10.18%,The International 2016,Luna,17,12,29,17.37%,7.19%,50.00%,Agility
12.57%,The International 2016,Lone Druid,21,8,29,17.37%,4.79%,75.00%,Agility
4.79%,The International 2016,Lion,8,16,24,14.37%,9.58%,37.50%,Intelligence
10.78%,The International 2016,Ancient Apparition,18,6,24,14.37%,3.59%,66.67%,Intelligence
4.79%,The International 2016,Disruptor,8,16,24,14.37%,9.58%,50.00%,Intelligence
4.19%,The International 2016,Ember Spirit,7,15,22,13.17%,8.98%,40.00%,Agility
2.40%,The International 2016,Rubick,4,16,20,11.98%,9.58%,50.00%,Intelligence
5.39%,The International 2016,Lich,9,10,19,11.38%,5.99%,40.00%,Intelligence
4.79%,The International 2016,Templar Assassin,8,10,18,10.78%,5.99%,30.00%,Agility
8.38%,The International 2016,Broodmother,14,4,18,10.78%,2.40%,75.00%,Agility
2.99%,The International 2016,Undying,5,13,18,10.78%,7.78%,76.92%,Strength
6.59%,The International 2016,Weaver,11,6,17,10.18%,3.59%,16.67%,Agility
5.39%,The International 2016,Winter Wyvern,9,8,17,10.18%,4.79%,75.00%,Intelligence
1.20%,The International 2016,Witch Doctor,2,14,16,9.58%,8.38%,35.71%,Intelligence
2.99%,The International 2016,Queen of Pain,5,10,15,8.98%,5.99%,50.00%,Intelligence
2.40%,The International 2016,Dragon Knight,4,11,15,8.98%,6.59%,36.36%,Strength
2.99%,The International 2016,Anti-Mage,5,9,14,8.38%,5.39%,33.33%,Agility
2.99%,The International 2016,Natures Prophet,5,9,14,8.38%,5.39%,33.33%,Intelligence
2.40%,The International 2016,Medusa,4,10,14,8.38%,5.99%,70.00%,Agility
2.40%,The International 2016,Phantom Lancer,4,9,13,7.78%,5.39%,66.67%,Agility
3.59%,The International 2016,Puck,6,7,13,7.78%,4.19%,71.43%,Intelligence
2.40%,The International 2016,Phantom Assassin,4,9,13,7.78%,5.39%,66.67%,Agility
0.00%,The International 2016,Skywrath Mage,0,13,13,7.78%,7.78%,46.15%,Intelligence
2.40%,The International 2016,Warlock,4,8,12,7.19%,4.79%,50.00%,Intelligence
5.39%,The International 2016,Viper,9,3,12,7.19%,1.80%,100.00%,Agility
1.20%,The International 2016,Night Stalker,2,10,12,7.19%,5.99%,50.00%,Strength
3.59%,The International 2016,Lycan,6,4,10,5.99%,2.40%,0.00%,Strength
4.19%,The International 2016,Meepo,7,2,9,5.39%,1.20%,50.00%,Agility
0.60%,The International 2016,Tiny,1,7,8,4.79%,4.19%,28.57%,Strength
0.60%,The International 2016,Legion Commander,1,7,8,4.79%,4.19%,28.57%,Strength
0.60%,The International 2016,Phoenix,1,7,8,4.79%,4.19%,14.29%,Strength
1.20%,The International 2016,Bane,2,5,7,4.19%,2.99%,40.00%,Intelligence
0.00%,The International 2016,Shadow Shaman,0,7,7,4.19%,4.19%,57.14%,Intelligence
1.20%,The International 2016,Magnus,2,5,7,4.19%,2.99%,60.00%,Strength
0.60%,The International 2016,Bristleback,1,6,7,4.19%,3.59%,66.67%,Strength
0.60%,The International 2016,Crystal Maiden,1,5,6,3.59%,2.99%,40.00%,Intelligence
0.60%,The International 2016,Spirit Breaker,1,5,6,3.59%,2.99%,60.00%,Strength
0.00%,The International 2016,Silencer,0,6,6,3.59%,3.59%,50.00%,Intelligence
0.00%,The International 2016,Venomancer,0,5,5,2.99%,2.99%,40.00%,Agility
0.60%,The International 2016,Abaddon,1,4,5,2.99%,2.40%,100.00%,Strength
1.20%,The International 2016,Zeus,2,2,4,2.40%,1.20%,100.00%,Intelligence
1.20%,The International 2016,Outworld Devourer,2,2,4,2.40%,1.20%,100.00%,Intelligence
0.00%,The International 2016,Enigma,0,3,3,1.80%,1.80%,33.33%,Intelligence
0.00%,The International 2016,Brewmaster,0,3,3,1.80%,1.80%,33.33%,Strength
0.00%,The International 2016,Shadow Fiend,0,2,2,1.20%,1.20%,50.00%,Agility
0.00%,The International 2016,Pudge,0,2,2,1.20%,1.20%,0.00%,Strength
0.00%,The International 2016,Windranger,0,2,2,1.20%,1.20%,0.00%,Intelligence
0.60%,The International 2016,Necrophos,1,1,2,1.20%,0.60%,0.00%,Intelligence
0.00%,The International 2016,Clinkz,0,2,2,1.20%,1.20%,0.00%,Agility
0.60%,The International 2016,Omniknight,1,1,2,1.20%,0.60%,0.00%,Strength
0.60%,The International 2016,Spectre,1,1,2,1.20%,0.60%,100.00%,Agility
0.00%,The International 2016,Gyrocopter,0,2,2,1.20%,1.20%,50.00%,Agility
0.00%,The International 2016,Chaos Knight,0,2,2,1.20%,1.20%,100.00%,Strength
0.00%,The International 2016,Tusk,0,2,2,1.20%,1.20%,0.00%,Strength
0.00%,The International 2016,Earthshaker,0,1,1,0.60%,0.60%,0.00%,Strength
0.00%,The International 2016,Sniper,0,1,1,0.60%,0.60%,0.00%,Agility
0.00%,The International 2016,Wraith King,0,1,1,0.60%,0.60%,0.00%,Strength
0.00%,The International 2016,Pugna,0,1,1,0.60%,0.60%,0.00%,Intelligence
0.00%,The International 2016,Clockwerk,0,1,1,0.60%,0.60%,0.00%,Strength
0.00%,The International 2016,Jakiro,0,1,1,0.60%,0.60%,0.00%,Intelligence
0.00%,The International 2016,Doom,0,1,1,0.60%,0.60%,100.00%,Strength
0.00%,The International 2016,Troll Warlord,0,1,1,0.60%,0.60%,0.00%,Agility
0.00%,The International 2016,Centaur Warrunner,0,1,1,0.60%,0.60%,100.00%,Strength
0.00%,The International 2016,Techies,0,1,1,0.60%,0.60%,0.00%,Intelligence
,The International 2016,Monkey King,,,,,,,Agility
,The International 2016,Underlord,,,,,,,Strength
,The International 2016,Arc Warden,,,,,,,Agility
0,The International 2016,Treant Protector,0,0,0,0,0,0,Strength
0,The International 2016,Bloodseeker,0,0,0,0,0,0,Agility
0,The International 2016,Leshrac,0,0,0,0,0,0,Intelligence
0,The International 2016,Lina,0,0,0,0,0,0,Intelligence
0,The International 2016,Visage,0,0,0,0,0,0,Intelligence
14.66%,The Kiev Major 2017,Abaddon,17,22,39,33.62%,18.97%,54.55%,Strength
15.52%,The Kiev Major 2017,Alchemist,18,10,28,24.14%,8.62%,30.00%,Strength
0,The Kiev Major 2017,Ancient Apparition,0,0,0,0,0,0,Intelligence
5.17%,The Kiev Major 2017,Anti-Mage,6,8,14,12.07%,6.90%,37.50%,Agility
1.72%,The Kiev Major 2017,Arc Warden,2,7,9,7.76%,6.03%,14.29%,Agility
11.21%,The Kiev Major 2017,Axe,13,8,21,18.10%,6.90%,87.50%,Strength
0.00%,The Kiev Major 2017,Bane,0,4,4,3.45%,3.45%,75.00%,Intelligence
7.76%,The Kiev Major 2017,Batrider,9,14,23,19.83%,12.07%,42.86%,Intelligence
6.03%,The Kiev Major 2017,Beastmaster,7,10,17,14.66%,8.62%,40.00%,Strength
1.72%,The Kiev Major 2017,Bloodseeker,2,0,2,1.72%,0.00%,0.00%,Agility
3.45%,The Kiev Major 2017,Bounty Hunter,4,10,14,12.07%,8.62%,40.00%,Agility
0.86%,The Kiev Major 2017,Brewmaster,1,2,3,2.59%,1.72%,0.00%,Strength
8.62%,The Kiev Major 2017,Bristleback,10,7,17,14.66%,6.03%,57.14%,Strength
0.00%,The Kiev Major 2017,Broodmother,0,2,2,1.72%,1.72%,0.00%,Agility
3.45%,The Kiev Major 2017,Centaur Warrunner,4,10,14,12.07%,8.62%,60.00%,Strength
0.86%,The Kiev Major 2017,Chaos Knight,1,2,3,2.59%,1.72%,100.00%,Strength
0,The Kiev Major 2017,Chen,0,0,0,0,0,0,Intelligence
1.72%,The Kiev Major 2017,Clinkz,2,3,5,4.31%,2.59%,33.33%,Agility
6.90%,The Kiev Major 2017,Clockwerk,8,13,21,18.10%,11.21%,23.08%,Strength
26.72%,The Kiev Major 2017,Crystal Maiden,31,54,85,73.28%,46.55%,59.26%,Intelligence
13.79%,The Kiev Major 2017,Dark Seer,16,12,28,24.14%,10.34%,75.00%,Intelligence
2.59%,The Kiev Major 2017,Dazzle,3,14,17,14.66%,12.07%,42.86%,Intelligence
2.59%,The Kiev Major 2017,Death Prophet,3,6,9,7.76%,5.17%,50.00%,Intelligence
4.31%,The Kiev Major 2017,Disruptor,5,16,21,18.10%,13.79%,62.50%,Intelligence
3.45%,The Kiev Major 2017,Doom,4,6,10,8.62%,5.17%,50.00%,Strength
3.45%,The Kiev Major 2017,Dragon Knight,4,8,12,10.34%,6.90%,50.00%,Strength
1.72%,The Kiev Major 2017,Drow Ranger,2,0,2,1.72%,0.00%,0.00%,Agility
20.69%,The Kiev Major 2017,Earth Spirit,24,18,42,36.21%,15.52%,33.33%,Strength
0.00%,The Kiev Major 2017,Earthshaker,0,8,8,6.90%,6.90%,37.50%,Strength
0.00%,The Kiev Major 2017,Elder Titan,0,3,3,2.59%,2.59%,66.67%,Strength
32.76%,The Kiev Major 2017,Ember Spirit,38,35,73,62.93%,30.17%,48.57%,Agility
0.00%,The Kiev Major 2017,Enchantress,0,1,1,0.86%,0.86%,0.00%,Intelligence
11.21%,The Kiev Major 2017,Enigma,13,10,23,19.83%,8.62%,80.00%,Intelligence
3.45%,The Kiev Major 2017,Faceless Void,4,6,10,8.62%,5.17%,16.67%,Agility
0,The Kiev Major 2017,Gyrocopter,0,0,0,0,0,0,Agility
0.86%,The Kiev Major 2017,Huskar,1,0,1,0.86%,0.00%,0.00%,Strength
25.00%,The Kiev Major 2017,Invoker,29,26,55,47.41%,22.41%,46.15%,Intelligence
43.10%,The Kiev Major 2017,Io,50,11,61,52.59%,9.48%,63.64%,Strength
0.00%,The Kiev Major 2017,Jakiro,0,1,1,0.86%,0.86%,100.00%,Intelligence
25.00%,The Kiev Major 2017,Juggernaut,29,24,53,45.69%,20.69%,41.67%,Agility
14.66%,The Kiev Major 2017,Keeper of the Light,17,13,30,25.86%,11.21%,53.85%,Intelligence
0.00%,The Kiev Major 2017,Kunkka,0,4,4,3.45%,3.45%,25.00%,Strength
37.07%,The Kiev Major 2017,Legion Commander,43,31,74,63.79%,26.72%,51.61%,Strength
0.00%,The Kiev Major 2017,Leshrac,0,1,1,0.86%,0.86%,0.00%,Intelligence
0.86%,The Kiev Major 2017,Lich,1,2,3,2.59%,1.72%,50.00%,Intelligence
20.69%,The Kiev Major 2017,Lifestealer,24,15,39,33.62%,12.93%,40.00%,Strength
27.59%,The Kiev Major 2017,Lina,32,29,61,52.59%,25.00%,34.48%,Intelligence
0.00%,The Kiev Major 2017,Lion,0,5,5,4.31%,4.31%,40.00%,Intelligence
0,The Kiev Major 2017,Lone Druid,0,0,0,0,0,0,Agility
0.00%,The Kiev Major 2017,Luna,0,2,2,1.72%,1.72%,0.00%,Agility
6.03%,The Kiev Major 2017,Lycan,7,6,13,11.21%,5.17%,83.33%,Strength
25.00%,The Kiev Major 2017,Magnus,29,26,55,47.41%,22.41%,50.00%,Strength
5.17%,The Kiev Major 2017,Medusa,6,10,16,13.79%,8.62%,50.00%,Agility
11.21%,The Kiev Major 2017,Meepo,13,1,14,12.07%,0.86%,0.00%,Agility
0,The Kiev Major 2017,Mirana,0,0,0,0,0,0,Agility
38.79%,The Kiev Major 2017,Monkey King,45,43,88,75.86%,37.07%,39.53%,Agility
3.45%,The Kiev Major 2017,Morphling,4,10,14,12.07%,8.62%,40.00%,Agility
36.21%,The Kiev Major 2017,Naga Siren,42,9,51,43.97%,7.76%,66.67%,Agility
15.52%,The Kiev Major 2017,Natures Prophet,18,14,32,27.59%,12.07%,42.86%,Intelligence
0,The Kiev Major 2017,Necrophos,0,0,0,0,0,0,Intelligence
1.72%,The Kiev Major 2017,Night Stalker,2,8,10,8.62%,6.90%,50.00%,Strength
25.00%,The Kiev Major 2017,Nyx Assassin,29,17,46,39.66%,14.66%,58.82%,Agility
2.59%,The Kiev Major 2017,Ogre Magi,3,10,13,11.21%,8.62%,60.00%,Intelligence
12.07%,The Kiev Major 2017,Omniknight,14,18,32,27.59%,15.52%,44.44%,Strength
0.00%,The Kiev Major 2017,Oracle,0,1,1,0.86%,0.86%,0.00%,Intelligence
9.48%,The Kiev Major 2017,Outworld Devourer,11,12,23,19.83%,10.34%,33.33%,Intelligence
2.59%,The Kiev Major 2017,Phantom Assassin,3,10,13,11.21%,8.62%,30.00%,Agility
0.86%,The Kiev Major 2017,Phantom Lancer,1,4,5,4.31%,3.45%,50.00%,Agility
1.72%,The Kiev Major 2017,Phoenix,2,14,16,13.79%,12.07%,57.14%,Strength
13.79%,The Kiev Major 2017,Puck,16,16,32,27.59%,13.79%,50.00%,Intelligence
1.72%,The Kiev Major 2017,Pudge,2,7,9,7.76%,6.03%,71.43%,Strength
2.59%,The Kiev Major 2017,Pugna,3,1,4,3.45%,0.86%,0.00%,Intelligence
1.72%,The Kiev Major 2017,Queen of Pain,2,4,6,5.17%,3.45%,75.00%,Intelligence
0.00%,The Kiev Major 2017,Razor,0,3,3,2.59%,2.59%,33.33%,Agility
18.97%,The Kiev Major 2017,Riki,22,21,43,37.07%,18.10%,52.38%,Agility
12.07%,The Kiev Major 2017,Rubick,14,23,37,31.90%,19.83%,47.83%,Intelligence
4.31%,The Kiev Major 2017,Sand King,5,19,24,20.69%,16.38%,47.37%,Strength
0,The Kiev Major 2017,Shadow Demon,0,0,0,0,0,0,Intelligence
31.90%,The Kiev Major 2017,Shadow Fiend,37,16,53,45.69%,13.79%,62.50%,Agility
1.72%,The Kiev Major 2017,Shadow Shaman,2,6,8,6.90%,5.17%,33.33%,Intelligence
6.90%,The Kiev Major 2017,Silencer,8,12,20,17.24%,10.34%,25.00%,Intelligence
0.00%,The Kiev Major 2017,Skywrath Mage,0,1,1,0.86%,0.86%,100.00%,Intelligence
6.03%,The Kiev Major 2017,Slardar,7,10,17,14.66%,8.62%,70.00%,Strength
21.55%,The Kiev Major 2017,Slark,25,18,43,37.07%,15.52%,77.78%,Agility
1.72%,The Kiev Major 2017,Sniper,2,2,4,3.45%,1.72%,100.00%,Agility
16.38%,The Kiev Major 2017,Spectre,19,26,45,38.79%,22.41%,53.85%,Agility
2.59%,The Kiev Major 2017,Spirit Breaker,3,6,9,7.76%,5.17%,33.33%,Strength
16.38%,The Kiev Major 2017,Storm Spirit,19,13,32,27.59%,11.21%,61.54%,Intelligence
6.90%,The Kiev Major 2017,Sven,8,8,16,13.79%,6.90%,37.50%,Strength
,The Kiev Major 2017,Techies,,,,,,,Intelligence
25.00%,The Kiev Major 2017,Templar Assassin,29,20,49,42.24%,17.24%,75.00%,Agility
35.34%,The Kiev Major 2017,Terrorblade,41,18,59,50.86%,15.52%,77.78%,Agility
0.00%,The Kiev Major 2017,Tidehunter,0,1,1,0.86%,0.86%,0.00%,Strength
11.21%,The Kiev Major 2017,Timbersaw,13,10,23,19.83%,8.62%,70.00%,Strength
10.34%,The Kiev Major 2017,Tinker,12,6,18,15.52%,5.17%,16.67%,Intelligence
0.00%,The Kiev Major 2017,Tiny,0,5,5,4.31%,4.31%,20.00%,Strength
44.83%,The Kiev Major 2017,Treant Protector,52,36,88,75.86%,31.03%,50.00%,Strength
9.48%,The Kiev Major 2017,Troll Warlord,11,13,24,20.69%,11.21%,38.46%,Agility
0.00%,The Kiev Major 2017,Tusk,0,10,10,8.62%,8.62%,60.00%,Strength
0,The Kiev Major 2017,Underlord,0,0,0,0,0,0,Strength
0.86%,The Kiev Major 2017,Undying,1,5,6,5.17%,4.31%,40.00%,Strength
14.66%,The Kiev Major 2017,Ursa,17,8,25,21.55%,6.90%,62.50%,Agility
25.86%,The Kiev Major 2017,Vengeful Spirit,30,32,62,53.45%,27.59%,50.00%,Agility
1.72%,The Kiev Major 2017,Venomancer,2,2,4,3.45%,1.72%,50.00%,Agility
0,The Kiev Major 2017,Viper,0,0,0,0,0,0,Agility
0.86%,The Kiev Major 2017,Visage,1,3,4,3.45%,2.59%,33.33%,Intelligence
24.14%,The Kiev Major 2017,Warlock,28,42,70,60.34%,36.21%,50.00%,Intelligence
12.93%,The Kiev Major 2017,Weaver,15,9,24,20.69%,7.76%,55.56%,Agility
0.86%,The Kiev Major 2017,Windranger,1,6,7,6.03%,5.17%,83.33%,Intelligence
1.72%,The Kiev Major 2017,Winter Wyvern,2,5,7,6.03%,4.31%,60.00%,Intelligence
0.86%,The Kiev Major 2017,Witch Doctor,1,9,10,8.62%,7.76%,22.22%,Intelligence
1.72%,The Kiev Major 2017,Wraith King,2,2,4,3.45%,1.72%,50.00%,Strength
0.86%,The Kiev Major 2017,Zeus,1,0,1,0.86%,0.00%,0.00%,Intelligence
54.55%,The Manila Major 2016,Beastmaster,54,35,89,89.90%,35.35%,45.71%,Strength
48.48%,The Manila Major 2016,Lifestealer,48,35,83,83.84%,35.35%,68.57%,Strength
42.42%,The Manila Major 2016,Phoenix,42,36,78,78.79%,36.36%,41.67%,Strength
58.59%,The Manila Major 2016,Io,58,16,74,74.75%,16.16%,62.50%,Strength
46.46%,The Manila Major 2016,Death Prophet,46,27,73,73.74%,27.27%,66.67%,Intelligence
41.41%,The Manila Major 2016,Dark Seer,41,28,69,69.70%,28.28%,39.29%,Intelligence
32.32%,The Manila Major 2016,Earth Spirit,32,32,64,64.65%,32.32%,56.25%,Strength
36.36%,The Manila Major 2016,Invoker,36,27,63,63.64%,27.27%,51.85%,Intelligence
34.34%,The Manila Major 2016,Batrider,34,27,61,61.62%,27.27%,44.44%,Intelligence
42.42%,The Manila Major 2016,Bounty Hunter,42,15,57,57.58%,15.15%,66.67%,Agility
33.33%,The Manila Major 2016,Lycan,33,22,55,55.56%,22.22%,54.55%,Strength
36.36%,The Manila Major 2016,Alchemist,36,17,53,53.54%,17.17%,47.06%,Strength
21.21%,The Manila Major 2016,Dragon Knight,21,30,51,51.52%,30.30%,43.33%,Strength
12.12%,The Manila Major 2016,Slardar,12,37,49,49.49%,37.37%,59.46%,Strength
8.08%,The Manila Major 2016,Disruptor,8,40,48,48.48%,40.40%,60.00%,Intelligence
26.26%,The Manila Major 2016,Tidehunter,26,21,47,47.47%,21.21%,47.62%,Strength
17.17%,The Manila Major 2016,Lion,17,29,46,46.46%,29.29%,48.28%,Intelligence
20.20%,The Manila Major 2016,Doom,20,23,43,43.43%,23.23%,47.83%,Strength
21.21%,The Manila Major 2016,Juggernaut,21,21,42,42.42%,21.21%,47.62%,Agility
10.10%,The Manila Major 2016,Vengeful Spirit,10,25,35,35.35%,25.25%,44.00%,Agility
15.15%,The Manila Major 2016,Faceless Void,15,20,35,35.35%,20.20%,55.00%,Agility
18.18%,The Manila Major 2016,Slark,18,15,33,33.33%,15.15%,46.67%,Agility
18.18%,The Manila Major 2016,Ancient Apparition,18,14,32,32.32%,14.14%,57.14%,Intelligence
8.08%,The Manila Major 2016,Dazzle,8,23,31,31.31%,23.23%,39.13%,Intelligence
19.19%,The Manila Major 2016,Riki,19,11,30,30.30%,11.11%,72.73%,Agility
14.14%,The Manila Major 2016,Enchantress,14,16,30,30.30%,16.16%,31.25%,Intelligence
16.16%,The Manila Major 2016,Puck,16,12,28,28.28%,12.12%,16.67%,Intelligence
21.21%,The Manila Major 2016,Drow Ranger,21,5,26,26.26%,5.05%,60.00%,Agility
5.05%,The Manila Major 2016,Witch Doctor,5,21,26,26.26%,21.21%,42.86%,Intelligence
8.08%,The Manila Major 2016,Ember Spirit,8,15,23,23.23%,15.15%,46.67%,Agility
10.10%,The Manila Major 2016,Axe,10,12,22,22.22%,12.12%,25.00%,Strength
11.11%,The Manila Major 2016,Weaver,11,11,22,22.22%,11.11%,45.45%,Agility
5.05%,The Manila Major 2016,Natures Prophet,5,16,21,21.21%,16.16%,43.75%,Intelligence
7.07%,The Manila Major 2016,Queen of Pain,7,13,20,20.20%,13.13%,46.15%,Intelligence
10.10%,The Manila Major 2016,Sven,10,9,19,19.19%,9.09%,66.67%,Strength
5.05%,The Manila Major 2016,Rubick,5,14,19,19.19%,14.14%,42.86%,Intelligence
14.14%,The Manila Major 2016,Tinker,14,4,18,18.18%,4.04%,75.00%,Intelligence
8.08%,The Manila Major 2016,Gyrocopter,8,10,18,18.18%,10.10%,40.00%,Agility
13.13%,The Manila Major 2016,Broodmother,13,4,17,17.17%,4.04%,75.00%,Agility
6.06%,The Manila Major 2016,Lich,6,8,14,14.14%,8.08%,75.00%,Intelligence
6.06%,The Manila Major 2016,Night Stalker,6,8,14,14.14%,8.08%,37.50%,Strength
7.07%,The Manila Major 2016,Lone Druid,7,6,13,13.13%,6.06%,66.67%,Agility
2.02%,The Manila Major 2016,Timbersaw,2,11,13,13.13%,11.11%,45.45%,Strength
5.05%,The Manila Major 2016,Phantom Lancer,5,7,12,12.12%,7.07%,42.86%,Agility
6.06%,The Manila Major 2016,Enigma,6,6,12,12.12%,6.06%,83.33%,Intelligence
5.05%,The Manila Major 2016,Tusk,5,7,12,12.12%,7.07%,42.86%,Strength
3.03%,The Manila Major 2016,Elder Titan,3,8,11,11.11%,8.08%,62.50%,Strength
4.04%,The Manila Major 2016,Clinkz,4,6,10,10.10%,6.06%,16.67%,Agility
3.03%,The Manila Major 2016,Nyx Assassin,3,7,10,10.10%,7.07%,42.86%,Agility
5.05%,The Manila Major 2016,Bristleback,5,5,10,10.10%,5.05%,60.00%,Strength
3.03%,The Manila Major 2016,Leshrac,3,6,9,9.09%,6.06%,66.67%,Intelligence
1.01%,The Manila Major 2016,Templar Assassin,1,7,8,8.08%,7.07%,42.86%,Agility
4.04%,The Manila Major 2016,Huskar,4,4,8,8.08%,4.04%,50.00%,Strength
8.08%,The Manila Major 2016,Meepo,8,0,8,8.08%,0.00%,0.00%,Agility
3.03%,The Manila Major 2016,Medusa,3,5,8,8.08%,5.05%,80.00%,Agility
3.03%,The Manila Major 2016,Crystal Maiden,3,4,7,7.07%,4.04%,75.00%,Intelligence
3.03%,The Manila Major 2016,Windranger,3,4,7,7.07%,4.04%,50.00%,Intelligence
